"","YMD","dp_sizegroup","ion","GR_median","GR_mean","GR_sd","eventID","score_over_10","airmass_change_flag"
"319","2018-05-19","(3,7]","negative",2.75,3.09,0.929,"Neg84",5,1
"320","2018-05-19","(3,7]","positive",2.75,2.81,0.277,"Pos84",5,1
"321","2018-05-19","(7,20]","negative",3.99,4.84,2.45,"Neg84",5,1
"322","2018-05-19","(7,20]","positive",4.15,4.85,2.18,"Pos84",5,1
"323","2018-05-19","(20,60]","negative",13.4,12.8,1,"Neg84",5,1
"324","2018-05-19","(20,60]","positive",11.3,11.1,0.625,"Pos84",5,1
"325","2018-05-20","[1,3]","negative",5.2,5.23,0.0705,"Neg85",8,0
"326","2018-05-20","[1,3]","positive",6.27,6.28,0.0232,"Pos85",7,0
"327","2018-05-20","(3,7]","negative",6.07,6.05,0.394,"Neg85",8,0
"328","2018-05-20","(3,7]","positive",6.59,6.6,0.179,"Pos85",7,0
"329","2018-05-20","(7,20]","negative",7.45,7.42,0.399,"Neg85",8,0
"330","2018-05-20","(7,20]","positive",7.58,7.5,0.238,"Pos85",7,0
"331","2018-05-21","[1,3]","negative",9.01,9.01,0.0175,"Neg86",6,2
"332","2018-05-21","[1,3]","positive",1.75,2.47,1.85,"Pos86",4,2
