Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2017,6,5,3,10,0,2888.72
2017,6,5,3,20,0,3038.17
2017,6,5,3,30,0,2915.14
2017,6,5,3,40,0,2932.56
2017,6,5,3,50,0,2834.05
2017,6,5,4,0,0,2770.13
2017,6,5,4,10,0,2770.21
2017,6,5,4,20,0,2758.98
2017,6,5,4,30,0,2756.92
2017,6,5,4,40,0,2932.89
2017,6,5,4,50,0,2901.88
2017,6,5,5,0,0,2799.0
2017,6,5,5,10,0,2680.61
2017,6,5,5,20,0,2582.0
2017,6,5,5,30,0,2521.13
2017,6,5,5,40,0,2479.37
2017,6,5,5,50,0,2347.37
2017,6,5,6,0,0,2334.97
2017,6,5,6,10,0,2324.29
2017,6,5,6,20,0,2271.61
2017,6,5,6,30,0,2668.73
2017,6,5,6,40,0,2477.22
2017,6,5,6,50,0,2357.1
2017,6,5,7,0,0,2119.25
2017,6,5,7,10,0,2107.01
2017,6,5,7,20,0,2200.05
2017,6,5,7,30,0,2361.34
2017,6,5,7,40,0,2425.37
2017,6,5,7,50,0,2422.49
2017,6,5,8,0,0,2190.06
2017,6,5,8,10,0,2217.41
2017,6,5,8,20,0,2119.46
2017,6,5,8,30,0,2110.44
2017,6,5,8,40,0,2091.44
2017,6,5,8,50,0,2049.32
2017,6,5,9,0,0,1814.19
2017,6,5,9,10,0,1732.32
2017,6,5,9,20,0,1695.38
2017,6,5,9,30,0,1714.16
2017,6,5,9,40,0,1729.77
2017,6,5,9,50,0,1754.26
2017,6,5,10,0,0,1778.59
2017,6,5,10,10,0,1753.24
2017,6,5,10,20,0,1871.8
2017,6,5,10,30,0,2127.49
2017,6,5,10,40,0,2394.13
2017,6,5,10,50,0,3070.73
2017,6,5,11,0,0,3699.97
2017,6,5,11,10,0,3597.59
2017,6,5,11,20,0,4554.44
2017,6,5,11,30,0,5198.27
2017,6,5,11,40,0,3891.01
2017,6,5,11,50,0,3313.53
2017,6,5,12,0,0,3244.82
2017,6,5,12,10,0,3404.23
2017,6,5,12,20,0,3045.85
2017,6,5,12,30,0,3283.33
2017,6,5,12,40,0,3177.75
2017,6,5,12,50,0,3044.75
2017,6,5,13,0,0,3365.61
2017,6,5,13,10,0,3527.75
2017,6,5,13,20,0,3918.26
2017,6,5,13,30,0,4603.45
2017,6,5,13,40,0,4229.56
2017,6,5,13,50,0,4301.72
2017,6,5,14,0,0,4138.52
2017,6,5,14,10,0,3981.33
2017,6,5,14,20,0,3306.18
2017,6,5,14,30,0,2806.11
2017,6,5,14,40,0,2791.15
2017,6,5,14,50,0,2756.05
2017,6,5,15,0,0,2894.45
2017,6,5,15,10,0,2982.44
2017,6,5,15,20,0,3081.28
2017,6,5,15,30,0,3153.7
2017,6,5,15,40,0,3118.08
2017,6,5,15,50,0,3032.19
2017,6,5,16,0,0,3034.41
2017,6,5,16,10,0,3012.38
2017,6,5,16,20,0,2793.39
2017,6,5,16,30,0,2753.88
2017,6,5,16,40,0,2661.09
2017,6,5,16,50,0,2425.68
2017,6,5,17,0,0,2230.93
2017,6,5,17,10,0,2264.81
2017,6,5,17,20,0,2301.04
2017,6,5,17,30,0,2409.01
2017,6,5,17,40,0,2300.59
2017,6,5,17,50,0,2382.75
2017,6,5,18,0,0,2451.69
2017,6,5,18,10,0,2480.11
2017,6,5,18,20,0,2478.65
2017,6,5,18,30,0,2527.38
2017,6,5,18,40,0,2305.48
2017,6,5,18,50,0,1925.77
2017,6,5,19,0,0,1802.75
2017,6,5,19,10,0,1703.14
2017,6,5,19,20,0,1646.43
2017,6,5,19,30,0,1642.76
2017,6,5,19,40,0,1698.02
2017,6,5,19,50,0,1733.08
2017,6,5,20,0,0,1611.7
2017,6,5,20,10,0,1608.7
2017,6,5,20,20,0,1551.64
2017,6,5,20,30,0,1553.06
2017,6,5,20,40,0,1548.69
2017,6,5,20,50,0,1754.83
2017,6,5,21,0,0,1411.41
2017,6,5,21,10,0,1328.65
2017,6,5,21,20,0,1439.63
2017,6,5,21,30,0,1328.84
2017,6,5,21,40,0,1280.4
2017,6,5,21,50,0,1318.41
2017,6,5,22,0,0,1332.86
2017,6,5,22,10,0,1335.26
2017,6,5,22,20,0,1332.31
2017,6,5,22,30,0,1470.83
2017,6,5,22,40,0,1453.49
2017,6,5,22,50,0,1338.82
2017,6,5,23,0,0,1338.09
2017,6,5,23,10,0,1274.81
2017,6,5,23,20,0,1209.3
2017,6,5,23,30,0,1175.78
2017,6,5,23,40,0,1167.44
2017,6,5,23,50,0,1151.84
2017,6,6,0,0,0,1163.74
2017,6,6,0,10,0,1186.93
2017,6,6,0,20,0,1152.62
2017,6,6,0,30,0,1156.41
2017,6,6,0,40,0,1189.34
2017,6,6,0,50,0,1183.44
2017,6,6,1,0,0,1183.78
2017,6,6,1,10,0,1235.34
2017,6,6,1,20,0,1280.43
2017,6,6,1,30,0,1265.44
2017,6,6,1,40,0,1308.78
2017,6,6,1,50,0,1331.81
2017,6,6,2,0,0,1310.31
2017,6,6,2,10,0,1289.89
2017,6,6,2,20,0,1309.32
2017,6,6,2,30,0,1281.56
2017,6,6,2,40,0,1335.05
2017,6,6,2,50,0,1319.89
2017,6,6,3,0,0,1341.66
2017,6,6,3,10,0,1347.57
2017,6,6,3,20,0,1406.62
2017,6,6,3,30,0,1399.78
2017,6,6,3,40,0,1435.88
2017,6,6,3,50,0,1516.28
2017,6,6,4,0,0,1690.0
2017,6,6,4,10,0,1731.44
2017,6,6,4,20,0,1633.02
2017,6,6,4,30,0,1700.91
2017,6,6,4,40,0,1651.21
2017,6,6,4,50,0,1560.22
2017,6,6,5,0,0,1612.69
2017,6,6,5,10,0,1784.92
2017,6,6,5,20,0,1702.43
2017,6,6,5,30,0,1582.06
2017,6,6,5,40,0,1558.27
2017,6,6,5,50,0,1557.56
2017,6,6,6,0,0,1849.44
2017,6,6,6,10,0,1844.41
2017,6,6,6,20,0,1767.46
2017,6,6,6,30,0,2595.82
2017,6,6,6,40,0,2663.31
2017,6,6,6,50,0,2799.23
2017,6,6,7,0,0,1956.86
2017,6,6,7,10,0,2197.28
2017,6,6,7,20,0,1876.72
2017,6,6,7,30,0,1966.87
2017,6,6,7,40,0,2322.75
2017,6,6,7,50,0,1600.0
2017,6,6,8,0,0,1415.9
2017,6,6,8,10,0,1447.68
2017,6,6,8,20,0,1332.8
